Date_Time,Open,High,Low,Close
2021-02-10 12:55:00,1.21164,1.21186,1.21146,1.21166
2021-02-10 13:00:00,1.21166,1.21234,1.21144,1.21234
2021-02-10 13:05:00,1.21232,1.21234,1.21198,1.21222
2021-02-10 13:10:00,1.21223,1.21276,1.21218,1.21272
2021-02-10 13:15:00,1.21273,1.21275,1.21253,1.21254
2021-02-10 13:20:00,1.21255,1.21262,1.21234,1.21258
2021-02-10 13:25:00,1.21257,1.21259,1.21232,1.21235
2021-02-10 13:30:00,1.21237,1.2139,1.21236,1.21336
2021-02-10 13:35:00,1.21337,1.21387,1.21314,1.21362
2021-02-10 13:40:00,1.21364,1.21398,1.21322,1.2133
2021-02-10 13:45:00,1.2133,1.21364,1.21318,1.21346
2021-02-10 13:50:00,1.21344,1.2135,1.213,1.21344
2021-02-10 13:55:00,1.21342,1.21348,1.21282,1.21287
2021-02-10 14:00:00,1.21286,1.21304,1.21256,1.213
2021-02-10 14:05:00,1.21299,1.21356,1.21297,1.21354
2021-02-10 14:10:00,1.21355,1.21368,1.21315,1.21319
2021-02-10 14:15:00,1.2132,1.21336,1.2131,1.21336
2021-02-10 14:20:00,1.21334,1.21346,1.21293,1.21333
2021-02-10 14:25:00,1.21334,1.21379,1.21333,1.21375
2021-02-10 14:30:00,1.21376,1.21394,1.21306,1.21308
2021-02-10 14:35:00,1.21308,1.21326,1.21288,1.21294
2021-02-10 14:40:00,1.21295,1.21326,1.21273,1.21308
2021-02-10 14:45:00,1.21307,1.21323,1.21276,1.21302
2021-02-10 14:50:00,1.21303,1.21303,1.21274,1.21282
2021-02-10 14:55:00,1.2128,1.21292,1.21242,1.21243
2021-02-10 15:00:00,1.21244,1.21314,1.21232,1.21293
2021-02-10 15:05:00,1.21292,1.21362,1.21286,1.21358
2021-02-10 15:10:00,1.2136,1.21396,1.21356,1.21367
2021-02-10 15:15:00,1.21368,1.21372,1.21314,1.21332
2021-02-10 15:20:00,1.2133,1.21335,1.21251,1.21278
2021-02-10 15:25:00,1.21278,1.21335,1.21266,1.21303
2021-02-10 15:30:00,1.21304,1.2135,1.21278,1.21294
2021-02-10 15:35:00,1.21296,1.21347,1.21296,1.21338
2021-02-10 15:40:00,1.21336,1.21384,1.21288,1.21299
2021-02-10 15:45:00,1.213,1.21332,1.21272,1.21278
2021-02-10 15:50:00,1.21276,1.21328,1.21252,1.2128
2021-02-10 15:55:00,1.21283,1.21313,1.21258,1.21311
2021-02-10 16:00:00,1.21312,1.21348,1.21291,1.21325
2021-02-10 16:05:00,1.21324,1.21362,1.21317,1.21359
2021-02-10 16:10:00,1.21358,1.21364,1.21344,1.21354
2021-02-10 16:15:00,1.21355,1.21358,1.21297,1.2131
2021-02-10 16:20:00,1.21311,1.21345,1.21308,1.21331
2021-02-10 16:25:00,1.21332,1.21361,1.21324,1.21345
2021-02-10 16:30:00,1.21348,1.2135,1.21329,1.2135
2021-02-10 16:35:00,1.21352,1.21352,1.21307,1.21308
2021-02-10 16:40:00,1.21306,1.2133,1.21298,1.21303
2021-02-10 16:45:00,1.21305,1.21332,1.21303,1.2132
2021-02-10 16:50:00,1.21322,1.21335,1.21302,1.21326
2021-02-10 16:55:00,1.21328,1.21338,1.21313,1.21314
2021-02-10 17:00:00,1.21312,1.21319,1.21266,1.21282
2021-02-10 17:05:00,1.2128,1.2129,1.21261,1.21287
2021-02-10 17:10:00,1.21289,1.21302,1.21284,1.21298
2021-02-10 17:15:00,1.21297,1.21302,1.21272,1.21292
2021-02-10 17:20:00,1.21294,1.21306,1.21287,1.21292
2021-02-10 17:25:00,1.21291,1.21342,1.21291,1.21328
2021-02-10 17:30:00,1.21326,1.21348,1.21322,1.21342
2021-02-10 17:35:00,1.21342,1.21348,1.21333,1.21344
2021-02-10 17:40:00,1.21342,1.21348,1.21319,1.21322
2021-02-10 17:45:00,1.21323,1.21344,1.21323,1.21343
2021-02-10 17:50:00,1.21345,1.21374,1.21336,1.21372
2021-02-10 17:55:00,1.21371,1.21387,1.21342,1.21382
2021-02-10 18:00:00,1.21384,1.21384,1.21358,1.21365
2021-02-10 18:05:00,1.21367,1.2137,1.21346,1.21354
2021-02-10 18:10:00,1.21352,1.21358,1.21338,1.21344
2021-02-10 18:15:00,1.21342,1.21352,1.21338,1.2134
2021-02-10 18:20:00,1.21342,1.21347,1.21324,1.21328
2021-02-10 18:25:00,1.21327,1.21332,1.21308,1.21314
2021-02-10 18:30:00,1.21316,1.21344,1.21311,1.21336
2021-02-10 18:35:00,1.21338,1.21338,1.21313,1.21326
2021-02-10 18:40:00,1.21327,1.21336,1.21311,1.21311
2021-02-10 18:45:00,1.2131,1.21311,1.21285,1.21285
2021-02-10 18:50:00,1.21286,1.21307,1.21283,1.213
2021-02-10 18:55:00,1.21301,1.21307,1.21291,1.21298
2021-02-10 19:00:00,1.21297,1.2132,1.21293,1.21302
2021-02-10 19:05:00,1.21302,1.21308,1.21288,1.21296
2021-02-10 19:10:00,1.21298,1.21308,1.21293,1.21296
2021-02-10 19:15:00,1.21298,1.21301,1.21277,1.21281
2021-02-10 19:20:00,1.21279,1.2128,1.21246,1.21256
2021-02-10 19:25:00,1.21258,1.21273,1.21245,1.2125
2021-02-10 19:30:00,1.21251,1.21295,1.21246,1.21283
2021-02-10 19:35:00,1.21282,1.21283,1.21266,1.21277
2021-02-10 19:40:00,1.21276,1.21283,1.21272,1.21272
2021-02-10 19:45:00,1.21271,1.21288,1.21262,1.21282
2021-02-10 19:50:00,1.2128,1.21288,1.21274,1.21277
2021-02-10 19:55:00,1.21278,1.21292,1.21272,1.21292
2021-02-10 20:00:00,1.21294,1.21294,1.21274,1.21292
2021-02-10 20:05:00,1.2129,1.21291,1.21268,1.21277
2021-02-10 20:10:00,1.21276,1.21276,1.21254,1.21258
2021-02-10 20:15:00,1.21259,1.21269,1.21242,1.21268
2021-02-10 20:20:00,1.21266,1.2127,1.21256,1.21262
2021-02-10 20:25:00,1.21261,1.2127,1.21261,1.21267
2021-02-10 20:30:00,1.21266,1.21268,1.21249,1.21253
2021-02-10 20:35:00,1.21252,1.21253,1.21208,1.21208
2021-02-10 20:40:00,1.2121,1.2123,1.21202,1.21218
2021-02-10 20:45:00,1.21219,1.21219,1.21188,1.21191
2021-02-10 20:50:00,1.2119,1.21206,1.21188,1.21192
2021-02-10 20:55:00,1.21194,1.21203,1.21189,1.21198
2021-02-10 21:00:00,1.212,1.21216,1.21197,1.2121
2021-02-10 21:05:00,1.21211,1.21221,1.21207,1.21207
2021-02-10 21:10:00,1.21206,1.21208,1.21192,1.21195
2021-02-10 21:15:00,1.21196,1.21196,1.21184,1.21184
2021-02-10 21:20:00,1.21182,1.21182,1.21178,1.21179
2021-02-10 21:25:00,1.21178,1.21181,1.21172,1.21179
2021-02-10 21:30:00,1.21178,1.21194,1.21168,1.21168
2021-02-10 21:35:00,1.2117,1.21195,1.21166,1.21181
2021-02-10 21:40:00,1.21183,1.21183,1.2117,1.21176
2021-02-10 21:45:00,1.21177,1.21185,1.21174,1.21174
2021-02-10 21:50:00,1.21176,1.21188,1.21174,1.21178
2021-02-10 21:55:00,1.21177,1.21195,1.21172,1.21186
2021-02-10 22:00:00,1.21188,1.21188,1.21186,1.21186
2021-02-10 22:05:00,1.21182,1.21186,1.21182,1.21184
2021-02-10 22:15:00,1.21182,1.21186,1.21181,1.21186
2021-02-10 22:20:00,1.2119,1.21206,1.21187,1.21192
2021-02-10 22:25:00,1.2119,1.2119,1.2119,1.2119
2021-02-10 22:30:00,1.21186,1.21192,1.21184,1.21192
2021-02-10 22:35:00,1.2119,1.21192,1.21188,1.21191
2021-02-10 22:40:00,1.21189,1.21193,1.21186,1.21189
2021-02-10 22:45:00,1.21192,1.21192,1.21188,1.21188
2021-02-10 22:50:00,1.2119,1.21191,1.21184,1.21187
2021-02-10 22:55:00,1.2119,1.21192,1.21186,1.21186
2021-02-10 23:00:00,1.21188,1.21196,1.21185,1.21194
2021-02-10 23:05:00,1.21195,1.21195,1.21189,1.21195
2021-02-10 23:10:00,1.21196,1.21196,1.2119,1.21191
2021-02-10 23:15:00,1.2119,1.21198,1.21184,1.21192
2021-02-10 23:20:00,1.21191,1.21192,1.21185,1.21186
2021-02-10 23:25:00,1.21184,1.21192,1.21181,1.21191
2021-02-10 23:30:00,1.21189,1.21194,1.21185,1.21186
2021-02-10 23:35:00,1.21188,1.2119,1.21182,1.21188
2021-02-10 23:40:00,1.21186,1.21189,1.21172,1.21179
2021-02-10 23:45:00,1.21178,1.21183,1.21166,1.21166
2021-02-10 23:50:00,1.21167,1.21184,1.21164,1.21183
2021-02-10 23:55:00,1.21184,1.21192,1.21182,1.2119
2021-02-11 00:00:00,1.21192,1.21198,1.2119,1.21198
2021-02-11 00:05:00,1.21196,1.21202,1.21187,1.21192
2021-02-11 00:10:00,1.2119,1.21196,1.21181,1.21181
2021-02-11 00:15:00,1.21182,1.21184,1.21162,1.21182
2021-02-11 00:20:00,1.2118,1.21187,1.2118,1.21184
2021-02-11 00:25:00,1.21186,1.21188,1.21174,1.21176
2021-02-11 00:30:00,1.21178,1.21178,1.21154,1.21156
2021-02-11 00:35:00,1.21155,1.21156,1.21138,1.21155
2021-02-11 00:40:00,1.21156,1.21162,1.21146,1.21147
2021-02-11 00:45:00,1.21148,1.21157,1.21147,1.21148
2021-02-11 00:50:00,1.21147,1.21148,1.21136,1.21146
2021-02-11 00:55:00,1.21145,1.2115,1.21141,1.21142
2021-02-11 01:00:00,1.21142,1.2116,1.21142,1.21146
2021-02-11 01:05:00,1.21148,1.21154,1.21146,1.21151
2021-02-11 01:10:00,1.2115,1.21154,1.21145,1.21147
2021-02-11 01:15:00,1.21146,1.21154,1.21139,1.21154
2021-02-11 01:20:00,1.21156,1.21158,1.2115,1.2115
2021-02-11 01:25:00,1.21151,1.21156,1.21143,1.21154
2021-02-11 01:30:00,1.21155,1.21172,1.21153,1.21171
2021-02-11 01:35:00,1.21172,1.21178,1.21166,1.21172
2021-02-11 01:40:00,1.21172,1.21174,1.21141,1.21148
2021-02-11 01:45:00,1.2115,1.21158,1.21144,1.21156
