"Date","Price","Open","High","Low","Change %"
"Jan 20, 2021","116.30","116.90","117.08","116.22","-0.50%"
"Jan 19, 2021","116.89","116.44","117.29","116.32","0.45%"
"Jan 18, 2021","116.37","116.64","116.68","116.26","-0.16%"
"Jan 15, 2021","116.56","116.85","116.94","116.49","-0.23%"
"Jan 14, 2021","116.83","117.01","117.33","116.74","-0.08%"
"Jan 13, 2021","116.92","117.04","117.25","116.83","-0.09%"
"Jan 12, 2021","117.02","117.12","117.27","116.93","-0.05%"
"Jan 11, 2021","117.08","117.46","117.50","116.87","-0.21%"
"Jan 08, 2021","117.33","117.23","117.63","117.03","0.09%"
"Jan 07, 2021","117.22","117.29","117.55","117.12","-0.03%"
"Jan 06, 2021","117.26","116.92","117.54","116.78","0.32%"
"Jan 05, 2021","116.89","116.99","117.18","116.72","-0.03%"
"Jan 04, 2021","116.93","117.03","117.33","116.43","0.23%"
"Jan 01, 2021","116.67","116.60","116.78","116.07","0.06%"
"Dec 31, 2020","116.59","117.10","117.24","116.55","-0.39%"
"Dec 30, 2020","117.05","117.16","117.28","116.47","-0.01%"
"Dec 29, 2020","117.06","116.75","117.26","116.58","0.32%"
"Dec 28, 2020","116.69","116.36","116.88","116.13","0.33%"
"Dec 25, 2020","116.31","116.35","116.54","116.13","0.03%"
"Dec 24, 2020","116.27","116.64","116.82","116.14","-0.27%"
"Dec 23, 2020","116.58","116.48","116.69","116.14","0.12%"
"Dec 22, 2020","116.44","116.64","116.94","116.39","-0.14%"
"Dec 21, 2020","116.60","117.02","117.11","116.42","-0.27%"
"Dec 18, 2020","116.92","116.59","117.21","116.51","0.33%"
"Dec 17, 2020","116.54","116.86","116.97","116.37","-0.24%"
"Dec 16, 2020","116.82","117.04","117.14","116.72","-0.15%"
"Dec 15, 2020","117.00","117.36","117.63","116.87","-0.27%"
"Dec 14, 2020","117.32","117.03","117.49","116.81","0.36%"
"Dec 11, 2020","116.90","117.63","117.74","116.63","-0.58%"
"Dec 10, 2020","117.58","117.18","117.79","117.12","0.34%"
"Dec 09, 2020","117.18","117.14","117.47","117.01","0.07%"
"Dec 08, 2020","117.10","116.80","117.26","116.66","0.25%"
"Dec 07, 2020","116.81","116.71","117.21","116.55","0.11%"
"Dec 04, 2020","116.68","116.53","117.07","116.45","0.16%"
"Dec 03, 2020","116.49","116.74","116.96","116.43","-0.15%"
"Dec 02, 2020","116.67","115.93","116.84","115.86","0.67%"
"Dec 01, 2020","115.89","114.74","116.03","114.68","1.06%"
"Nov 30, 2020","114.67","115.00","115.67","114.71","-0.36%"
"Nov 27, 2020","115.09","115.00","115.14","114.55","0.14%"
"Nov 26, 2020","114.93","115.03","115.14","114.62","-0.06%"
"Nov 25, 2020","115.00","114.60","115.04","114.21","0.38%"
"Nov 24, 2020","114.57","114.56","114.89","114.14","0.03%"
"Nov 23, 2020","114.53","114.01","114.64","113.80","0.50%"
"Nov 20, 2020","113.96","113.87","114.24","113.76","0.11%"
"Nov 19, 2020","113.83","113.94","114.14","113.74","-0.10%"
"Nov 18, 2020","113.94","114.36","114.37","113.81","-0.30%"
"Nov 17, 2020","114.28","114.56","114.69","114.26","-0.21%"
"Nov 16, 2020","114.52","114.62","115.03","114.44","-0.06%"
"Nov 13, 2020","114.59","114.90","115.00","114.48","-0.24%"
"Nov 12, 2020","114.87","114.90","115.37","114.71","0.00%"
"Nov 11, 2020","114.87","115.06","115.25","114.74","-0.09%"
"Nov 10, 2020","114.97","115.35","115.43","114.82","-0.29%"
"Nov 09, 2020","115.31","114.82","116.14","114.64","0.55%"
"Nov 06, 2020","114.68","114.44","115.11","114.21","0.22%"
"Nov 05, 2020","114.43","114.53","114.99","114.21","0.03%"
"Nov 04, 2020","114.40","114.53","114.99","114.22","-0.04%"
"Nov 03, 2020","114.45","113.91","114.68","113.82","0.49%"
"Nov 02, 2020","113.89","114.05","114.37","113.80","-0.18%"
"Oct 30, 2020","114.10","114.31","114.50","113.76","-0.13%"
"Oct 29, 2020","114.25","114.57","114.93","114.06","-0.24%"
"Oct 28, 2020","114.52","114.90","115.06","114.18","-0.30%"
"Oct 27, 2020","114.86","115.51","115.62","114.89","-0.54%"
"Oct 26, 2020","115.48","115.76","115.99","115.44","-0.22%"
"Oct 23, 2020","115.73","115.57","115.94","115.17","0.15%"
"Oct 22, 2020","115.56","115.49","115.68","115.26","0.09%"
"Oct 21, 2020","115.46","116.31","116.42","115.44","-0.71%"
"Oct 20, 2020","116.28","115.81","116.62","115.75","0.44%"
"Oct 19, 2020","115.77","115.20","116.02","115.01","0.50%"
"Oct 16, 2020","115.19","115.25","115.49","114.85","-0.02%"
"Oct 15, 2020","115.21","115.03","115.36","114.97","0.17%"
"Oct 14, 2020","115.02","115.28","115.43","115.01","-0.17%"
"Oct 13, 2020","115.22","115.85","116.00","115.25","-0.49%"
"Oct 12, 2020","115.79","116.13","116.29","115.69","-0.16%"
"Oct 09, 2020","115.97","115.64","116.21","115.46","0.33%"
"Oct 08, 2020","115.59","115.52","115.76","115.21","0.10%"
"Oct 07, 2020","115.48","115.07","115.78","114.96","0.38%"
"Oct 06, 2020","115.04","115.50","115.73","114.96","-0.36%"
"Oct 05, 2020","115.45","114.39","115.63","114.37","1.08%"
"Oct 02, 2020","114.22","114.87","114.96","114.02","-0.55%"
"Oct 01, 2020","114.85","114.51","115.24","114.42","0.37%"
"Sep 30, 2020","114.43","114.90","115.08","114.35","-0.39%"
"Sep 29, 2020","114.88","114.11","115.01","114.01","0.71%"
"Sep 28, 2020","114.07","113.64","114.26","113.25","0.32%"
"Sep 25, 2020","113.71","113.76","113.94","113.51","0.01%"
"Sep 24, 2020","113.70","114.05","114.42","113.63","-0.27%"
"Sep 23, 2020","114.01","114.08","114.29","113.90","-0.03%"
"Sep 22, 2020","114.04","114.43","114.56","114.01","-0.31%"
"Sep 21, 2020","114.40","114.74","114.90","113.68","-0.21%"
"Sep 18, 2020","114.64","115.29","115.48","114.53","-0.53%"
"Sep 17, 2020","115.25","115.40","115.51","114.72","-0.10%"
"Sep 16, 2020","115.37","116.10","116.20","115.26","-0.58%"
"Sep 15, 2020","116.04","116.43","116.81","115.98","-0.30%"
"Sep 14, 2020","116.39","116.73","116.94","116.30","-0.34%"
"Sep 11, 2020","116.79","116.54","117.01","116.46","0.23%"
"Sep 10, 2020","116.52","116.39","117.32","116.24","0.16%"
"Sep 09, 2020","116.33","115.53","116.47","115.14","0.73%"
"Sep 08, 2020","115.49","115.99","116.07","115.26","-0.41%"
"Sep 07, 2020","115.96","116.37","116.50","115.88","-0.28%"
"Sep 04, 2020","116.28","116.77","116.82","116.06","-0.39%"
"Sep 03, 2020","116.73","116.62","117.03","116.24","0.14%"
"Sep 02, 2020","116.57","116.53","116.71","116.11","0.05%"
"Sep 01, 2020","116.51","117.21","117.51","116.46","-0.55%"
"Aug 31, 2020","117.15","116.53","117.82","116.43","0.56%"
"Aug 28, 2020","116.50","117.22","117.92","116.30","-0.59%"
"Aug 27, 2020","117.19","116.75","117.37","116.36","0.46%"
"Aug 26, 2020","116.65","117.19","117.40","116.54","-0.44%"
"Aug 25, 2020","117.17","116.22","117.31","116.14","0.85%"
"Aug 24, 2020","116.18","116.06","116.64","115.82","0.13%"
"Aug 21, 2020","116.03","116.55","116.63","115.78","-0.45%"
"Aug 20, 2020","116.55","115.94","116.61","115.81","0.55%"
"Aug 19, 2020","115.91","116.61","116.96","115.68","-0.60%"
"Aug 18, 2020","116.61","116.93","117.10","116.43","-0.23%"
"Aug 17, 2020","116.88","117.21","117.46","116.87","-0.32%"
"Aug 14, 2020","117.25","117.50","117.66","116.92","-0.20%"
"Aug 13, 2020","117.49","117.21","117.63","116.97","0.26%"
"Aug 12, 2020","117.18","116.15","117.46","115.96","0.92%"
"Aug 11, 2020","116.11","115.71","116.46","115.64","0.38%"
"Aug 10, 2020","115.67","115.94","116.14","115.51","-0.32%"
