"Date","Price","Open","High","Low","Change %"
"Apr 07, 2021","1.1566","1.1640","1.1655","1.1540","-0.61%"
"Apr 06, 2021","1.1637","1.1768","1.1787","1.1637","-1.06%"
"Apr 05, 2021","1.1762","1.1757","1.1804","1.1748","0.06%"
"Apr 02, 2021","1.1755","1.1746","1.1766","1.1733","0.12%"
"Apr 01, 2021","1.1741","1.1750","1.1776","1.1717","-0.03%"
"Mar 31, 2021","1.1745","1.1729","1.1762","1.1711","0.17%"
"Mar 30, 2021","1.1725","1.1699","1.1734","1.1686","0.27%"
"Mar 29, 2021","1.1694","1.1694","1.1758","1.1678","0.06%"
"Mar 26, 2021","1.1687","1.1675","1.1717","1.1662","0.13%"
"Mar 25, 2021","1.1672","1.1587","1.1681","1.1570","0.78%"
"Mar 24, 2021","1.1582","1.1604","1.1613","1.1566","-0.16%"
"Mar 23, 2021","1.1601","1.1616","1.1632","1.1565","-0.10%"
"Mar 22, 2021","1.1613","1.1653","1.1665","1.1588","-0.33%"
"Mar 19, 2021","1.1651","1.1685","1.1718","1.1638","-0.27%"
"Mar 18, 2021","1.1682","1.1658","1.1721","1.1641","0.23%"
"Mar 17, 2021","1.1655","1.1671","1.1710","1.1618","-0.11%"
"Mar 16, 2021","1.1668","1.1648","1.1687","1.1573","0.21%"
"Mar 15, 2021","1.1643","1.1643","1.1692","1.1625","-0.01%"
"Mar 12, 2021","1.1644","1.1672","1.1693","1.1626","-0.22%"
"Mar 11, 2021","1.1670","1.1681","1.1700","1.1651","-0.06%"
"Mar 10, 2021","1.1677","1.1674","1.1699","1.1655","0.03%"
"Mar 09, 2021","1.1673","1.1671","1.1697","1.1645","0.03%"
"Mar 08, 2021","1.1669","1.1610","1.1675","1.1588","0.48%"
"Mar 05, 2021","1.1613","1.1611","1.1626","1.1557","0.05%"
"Mar 04, 2021","1.1607","1.1568","1.1636","1.1554","0.37%"
"Mar 03, 2021","1.1564","1.1542","1.1601","1.1536","0.23%"
"Mar 02, 2021","1.1538","1.1557","1.1580","1.1536","-0.10%"
"Mar 01, 2021","1.1550","1.1543","1.1602","1.1536","0.13%"
"Feb 26, 2021","1.1535","1.1509","1.1554","1.1452","0.25%"
"Feb 25, 2021","1.1506","1.1624","1.1635","1.1495","-1.01%"
"Feb 24, 2021","1.1623","1.1614","1.1708","1.1604","0.09%"
"Feb 23, 2021","1.1613","1.1569","1.1622","1.1552","0.41%"
"Feb 22, 2021","1.1566","1.1566","1.1585","1.1544","0.03%"
"Feb 19, 2021","1.1562","1.1559","1.1575","1.1522","0.07%"
"Feb 18, 2021","1.1554","1.1506","1.1574","1.1492","0.44%"
"Feb 17, 2021","1.1503","1.1485","1.1523","1.1468","0.20%"
"Feb 16, 2021","1.1480","1.1465","1.1500","1.1441","0.17%"
"Feb 15, 2021","1.1460","1.1424","1.1473","1.1421","0.37%"
"Feb 12, 2021","1.1418","1.1389","1.1438","1.1373","0.28%"
"Feb 11, 2021","1.1386","1.1415","1.1426","1.1378","-0.20%"
"Feb 10, 2021","1.1409","1.1401","1.1429","1.1387","0.11%"
"Feb 09, 2021","1.1397","1.1404","1.1415","1.1365","-0.05%"
"Feb 08, 2021","1.1403","1.1401","1.1415","1.1371","0.03%"
"Feb 05, 2021","1.1400","1.1430","1.1445","1.1391","-0.24%"
"Feb 04, 2021","1.1427","1.1341","1.1432","1.1310","0.78%"
"Feb 03, 2021","1.1338","1.1348","1.1370","1.1329","-0.06%"
